Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,389000000000,416000000000,379000000000,396000000000,467000000000,614000000000,695000000000,748000000000,854000000000,1060000000000,929000000000,1150000000000,1400000000000,1550000000000,1580000000000,1470000000000,1350000000000,1210000000000,1330000000000,1430000000000,1390000000000
AZE,4581246713,5272617196,5707618247,6236086669,7276413079,8680410158,13245421881,20981929498,33049426816,48851318826,44292408817,52909294792,65952763949,69679913510,74160553009,75239737489,53076244755,37867007023,40866632048,47112479289,48174235294
CZE,65173036731,61823494487,67808695574,82196206090,100000000000,120000000000,137000000000,156000000000,190000000000,237000000000,207000000000,209000000000,230000000000,209000000000,212000000000,209000000000,188000000000,196000000000,219000000000,249000000000,253000000000
FIN,135000000000,126000000000,130000000000,140000000000,172000000000,197000000000,205000000000,217000000000,256000000000,286000000000,253000000000,249000000000,276000000000,258000000000,271000000000,275000000000,235000000000,241000000000,256000000000,276000000000,269000000000
FRA,1490000000000,1370000000000,1380000000000,1500000000000,1840000000000,2120000000000,2200000000000,2320000000000,2660000000000,2930000000000,2700000000000,2650000000000,2870000000000,2680000000000,2810000000000,2860000000000,2440000000000,2470000000000,2600000000000,2790000000000,2730000000000
DEU,2190000000000,1950000000000,1950000000000,2080000000000,2500000000000,2810000000000,2850000000000,2990000000000,3430000000000,3750000000000,3410000000000,3400000000000,3750000000000,3530000000000,3730000000000,3890000000000,3360000000000,3470000000000,3690000000000,3970000000000,3890000000000
HUN,49073373276,47218411470,53749989092,67608919144,85285075492,104000000000,113000000000,116000000000,140000000000,158000000000,131000000000,132000000000,142000000000,129000000000,136000000000,141000000000,125000000000,129000000000,143000000000,161000000000,164000000000
ITA,1250000000000,1150000000000,1170000000000,1280000000000,1580000000000,1810000000000,1860000000000,1950000000000,2210000000000,2410000000000,2200000000000,2140000000000,2290000000000,2090000000000,2140000000000,2160000000000,1840000000000,1880000000000,1960000000000,2090000000000,2010000000000
JPN,4640000000000,4970000000000,4370000000000,4180000000000,4520000000000,4890000000000,4830000000000,4600000000000,4580000000000,5110000000000,5290000000000,5760000000000,6230000000000,6270000000000,5210000000000,4900000000000,4440000000000,5000000000000,4930000000000,5040000000000,5120000000000
NOR,162000000000,171000000000,174000000000,196000000000,229000000000,265000000000,310000000000,347000000000,403000000000,465000000000,388000000000,431000000000,501000000000,513000000000,526000000000,502000000000,388000000000,371000000000,402000000000,440000000000,409000000000
POL,170000000000,172000000000,191000000000,199000000000,218000000000,255000000000,306000000000,345000000000,429000000000,534000000000,440000000000,476000000000,524000000000,495000000000,516000000000,539000000000,477000000000,470000000000,525000000000,589000000000,596000000000
RUS,196000000000,260000000000,307000000000,345000000000,430000000000,591000000000,764000000000,990000000000,1300000000000,1660000000000,1220000000000,1520000000000,2050000000000,2210000000000,2290000000000,2060000000000,1360000000000,1280000000000,1570000000000,1660000000000,1690000000000
ESP,635000000000,598000000000,628000000000,709000000000,907000000000,1070000000000,1150000000000,1260000000000,1470000000000,1630000000000,1490000000000,1420000000000,1480000000000,1320000000000,1360000000000,1370000000000,1200000000000,1230000000000,1310000000000,1420000000000,1390000000000
SWE,274000000000,263000000000,242000000000,267000000000,334000000000,385000000000,392000000000,423000000000,491000000000,518000000000,437000000000,496000000000,574000000000,552000000000,587000000000,582000000000,505000000000,516000000000,541000000000,555000000000,534000000000
CHE,298000000000,279000000000,287000000000,309000000000,362000000000,404000000000,418000000000,442000000000,491000000000,567000000000,554000000000,599000000000,716000000000,686000000000,706000000000,727000000000,694000000000,688000000000,695000000000,726000000000,721000000000
TUR,256000000000,274000000000,202000000000,240000000000,315000000000,409000000000,506000000000,557000000000,681000000000,770000000000,649000000000,777000000000,839000000000,881000000000,958000000000,939000000000,864000000000,870000000000,859000000000,778000000000,760000000000
GBR,1690000000000,1670000000000,1650000000000,1790000000000,2060000000000,2420000000000,2540000000000,2710000000000,3090000000000,2930000000000,2420000000000,2490000000000,2670000000000,2710000000000,2790000000000,3070000000000,2930000000000,2700000000000,2680000000000,2880000000000,2860000000000
