Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,18800892,19017968,19248146,19475842,19699004,19925060,20171732,20467032,20830832,21247876,21660898,22019166,22357032,22729272,23111788,23469578,23820240,24195706,24590336,24979228,25357168
AZE,8101447,8190341,8282030,8372128,8462335,8556168,8656243,8763353,8878408,8999697,9119630,9237203,9359018,9485577,9614478,9741879,9863485,9976254,10071569,10152524,10232761
CZE,10249145,10234712,10230273,10238170,10248039,10261003,10280122,10304822,10337831,10378586,10421515,10464750,10496379,10511065,10514547,10517178,10523801,10527584,10531315,10534598,10536876
FIN,5165500,5176208,5188007,5200588,5212991,5228143,5246070,5266249,5288694,5313358,5338813,5363279,5388173,5413865,5438873,5461436,5479457,5495217,5508146,5515465,5521539
FRA,58352208,58665456,59014776,59372784,59728260,60108436,60510080,60919152,61329380,61721004,62093300,62444568,62775272,63071412,63335180,63588496,63809768,63989320,64144092,64277812,64399760
DEU,81556968,81551680,81514568,81443424,81346808,81266672,81212168,81177816,81183832,81217488,81260624,81325088,81423384,81545568,81680592,81858824,82073232,82331432,82624368,82896696,83148144
HUN,10230263,10202054,10177955,10148404,10118060,10094499,10073533,10057063,10041171,10023508,10008581,9986832,9953247,9922133,9894637,9867906,9844250,9815106,9788940,9776361,9771799
ITA,56945064,56966400,56994992,57107576,57425176,57860664,58199876,58429904,58778480,59224228,59562844,59822452,60025952,60190152,60312600,60322792,60232908,60118628,60004024,59877432,59727936
JPN,126555064,126803864,127065736,127301744,127502352,127671288,127798376,127902168,128006424,128077632,128117040,128105432,128007256,127853688,127678920,127476728,127250936,126993856,126662464,126255872,125791680
NOR,4462148,4491204,4514019,4538435,4565167,4592284,4623691,4661081,4709582,4768654,4829195,4889747,4953565,5019058,5080667,5137926,5190357,5236591,5277396,5312321,5348285
POL,38354952,38504432,38662860,38647476,38621536,38596040,38575912,38547180,38521868,38522884,38555288,38597356,38620848,38625872,38607352,38581880,38553148,38532108,38532816,38521464,38493600
RUS,147336384,146844848,146235520,145590144,144946720,144353648,143800048,143338672,143117680,143086544,143163648,143242592,143364544,143629360,143956864,144285072,144668384,145109152,145452544,145652288,145742288
ESP,40542232,40741652,40966448,41477652,42230268,42959672,43685372,44422824,45245784,45966544,46367772,46572776,46729232,46756084,46603460,46464548,46431344,46473320,46584168,46792044,47131372
SWE,8848881,8871042,8896748,8926011,8961506,9004263,9051739,9104724,9164274,9229282,9301413,9381722,9467384,9555984,9648935,9747507,9849344,9953322,10058191,10162300,10267922
CHE,7142199,7182052,7224413,7276479,7330729,7381153,7428437,7475014,7541909,7638288,7734402,7822444,7910988,7995738,8088370,8187792,8281735,8372902,8451688,8514431,8575593
TUR,63185620,64113548,65072016,65988664,66867324,67785080,68704712,69601328,70468864,71320728,72225648,73195352,74173856,75277440,76576120,78112064,79646176,81019400,82089824,82809304,83481688
GBR,58635204,58850044,59092016,59355688,59649800,59995852,60383740,60803700,61260680,61742152,62243384,62760048,63286360,63808728,64302296,64773504,65224368,65655204,66064808,66432996,66778660
